{'view_name.field_name': 'order_items.id', 'description': 'The unique identifier for each order item.', 'field_type': 'number'}
{'view_name.field_name': 'order_items.inventory_item_id', 'description': 'The unique identifier for the inventory item associated with the order item.', 'field_type': 'number'}
{'view_name.field_name': 'order_items.user_id', 'description': 'The unique identifier for the user who purchased the order item.', 'field_type': 'number'}
{'view_name.field_name': 'order_items.count', 'description': 'The number of units of the order item that were purchased.', 'field_type': 'count'}
{'view_name.field_name': 'order_items.order_count', 'description': 'The number of orders that contain the order item.', 'field_type': 'count_distinct'}
{'view_name.field_name': 'order_items.order_id_no_actions', 'description': 'The unique identifier for the order that the order item belongs to.', 'field_type': 'number'}
{'view_name.field_name': 'order_items.order_id', 'description': 'The unique identifier for the order that the order item belongs to.', 'field_type': 'number'}
{'view_name.field_name': 'order_items.returned_at_date', 'description': 'The date and time when the order item was returned.', 'field_type': 'time'}
{'view_name.field_name': 'order_items.shipped_at_date', 'description': 'The date and time when the order item was shipped.', 'field_type': 'time'}
{'view_name.field_name': 'order_items.delivered_at_date', 'description': 'The date and time when the order item was delivered.', 'field_type': 'time'}
{'view_name.field_name': 'order_items.created_at_date', 'description': 'The date and time when the order item was created.', 'field_type': 'time'}
{'view_name.field_name': 'order_items.reporting_period', 'description': 'The reporting period for the order item.', 'field_type': 'group_label'}
{'view_name.field_name': 'order_items.days_since_sold', 'description': 'The number of days since the order item was sold.', 'field_type': 'number'}
{'view_name.field_name': 'order_items.months_since_signup', 'description': 'The number of months since the user who purchased the order item signed up for the service.', 'field_type': 'number'}
{'view_name.field_name': 'order_items.status', 'description': 'The status of the order item.', 'field_type': 'dimension'}
{'view_name.field_name': 'order_items.days_to_process', 'description': 'The number of days it took to process the order item.', 'field_type': 'number'}
{'view_name.field_name': 'order_items.shipping_time', 'description': 'The number of days it took to ship the order item.', 'field_type': 'number'}
{'view_name.field_name': 'order_items.average_days_to_process', 'description': 'The average number of days it takes to process order items.', 'field_type': 'average'}
{'view_name.field_name': 'order_items.average_shipping_time', 'description': 'The average number of days it takes to ship order items.', 'field_type': 'average'}
